Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,orchestra,no,yes,0
A,Read,invention,yes,yes,650
A,Read,chemical,yes,yes,650
A,Read,salary,no,yes,0
A,Read,homeless,yes,yes,600
A,Read,optimal,yes,yes,610
A,Read,protestant,no,yes,0
A,Read,touristic,no,yes,0
A,Read,fabulous,yes,yes,600
A,Read,equation,no,yes,0
A,Read,displeasure,no,yes,0
A,Read,camera,yes,yes,1030
A,Read,malicious,yes,yes,820
A,Read,humanist,no,yes,0
A,Read,instructive,no,yes,0
A,Read,disagree,no,no,0
A,Read,famously,no,yes,0
A,Read,pollution,no,no,0
A,Read,overflow,yes,yes,950
A,Read,cosmetic,no,yes,0
Total,,,,90,738
A,Audio,famously,no,yes,0
A,Audio,orchestra,no,yes,0
A,Audio,overflow,yes,yes,2010
A,Audio,pollution,no,no,0
A,Audio,instructive,no,yes,0
A,Audio,camera,yes,yes,1330
A,Audio,equation,no,yes,0
A,Audio,protestant,no,yes,0
A,Audio,chemical,yes,yes,1310
A,Audio,homeless,yes,yes,920
A,Audio,humanist,no,yes,0
A,Audio,cosmetic,no,yes,0
A,Audio,disagree,no,no,0
A,Audio,malicious,yes,yes,1020
A,Audio,optimal,yes,yes,1770
A,Audio,touristic,no,yes,0
A,Audio,invention,no,no,0
A,Audio,salary,yes,no,0
A,Audio,fabulous,yes,yes,1080
A,Audio,displeasure,no,yes,0
Total,,,,80,1348
