Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,pollution,yes,yes,1340
B,Read,malicious,yes,yes,780
B,Read,instructive,no,yes,0
B,Read,fabulous,yes,yes,740
B,Read,protestant,no,yes,0
B,Read,salary,no,yes,0
B,Read,disagree,no,no,0
B,Read,orchestra,no,yes,0
B,Read,touristic,yes,no,0
B,Read,optimal,yes,yes,970
B,Read,famously,no,yes,0
B,Read,overflow,no,no,0
B,Read,homeless,yes,yes,650
B,Read,cosmetic,no,yes,0
B,Read,humanist,no,yes,0
B,Read,invention,no,no,0
B,Read,equation,no,yes,0
B,Read,chemical,yes,yes,940
B,Read,displeasure,no,yes,0
B,Read,camera,no,no,0
Total,,,,75,903
B,Audio,pollution,yes,yes,1820
B,Audio,fabulous,yes,yes,1870
B,Audio,malicious,yes,yes,1400
B,Audio,humanist,no,yes,0
B,Audio,displeasure,no,yes,0
B,Audio,camera,no,no,0
B,Audio,famously,no,yes,0
B,Audio,salary,no,yes,0
B,Audio,disagree,no,no,0
B,Audio,overflow,no,no,0
B,Audio,instructive,yes,no,0
B,Audio,cosmetic,no,yes,0
B,Audio,protestant,no,yes,0
B,Audio,homeless,yes,yes,1180
B,Audio,chemical,yes,yes,1020
B,Audio,orchestra,no,yes,0
B,Audio,touristic,no,yes,0
B,Audio,optimal,yes,yes,2030
B,Audio,invention,no,no,0
B,Audio,equation,no,yes,0
Total,,,,75,1553
