Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,instructive,no,yes,0
B,Read,famously,no,yes,0
B,Read,invention,yes,yes,970
B,Read,disagree,no,no,0
B,Read,overflow,yes,yes,720
B,Read,chemical,yes,yes,730
B,Read,displeasure,no,yes,0
B,Read,equation,no,yes,0
B,Read,orchestra,no,yes,0
B,Read,salary,no,yes,0
B,Read,touristic,no,yes,0
B,Read,humanist,no,yes,0
B,Read,camera,yes,yes,860
B,Read,cosmetic,no,yes,0
B,Read,protestant,no,yes,0
B,Read,fabulous,yes,yes,740
B,Read,optimal,yes,yes,750
B,Read,malicious,yes,yes,1280
B,Read,homeless,yes,yes,780
B,Read,pollution,yes,yes,930
Total,,,,95,862
B,Audio,famously,no,yes,0
B,Audio,salary,no,yes,0
B,Audio,protestant,no,yes,0
B,Audio,camera,yes,yes,1010
B,Audio,optimal,yes,yes,1080
B,Audio,displeasure,no,yes,0
B,Audio,equation,no,yes,0
B,Audio,pollution,yes,yes,1020
B,Audio,humanist,no,yes,0
B,Audio,cosmetic,no,yes,0
B,Audio,overflow,yes,yes,1120
B,Audio,orchestra,no,yes,0
B,Audio,chemical,yes,yes,1110
B,Audio,malicious,no,no,0
B,Audio,touristic,no,yes,0
B,Audio,homeless,yes,yes,990
B,Audio,fabulous,yes,yes,1510
B,Audio,invention,yes,yes,1970
B,Audio,instructive,no,yes,0
B,Audio,disagree,yes,yes,1910
Total,,,,95,1302
