Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,cosmetic,no,yes,0
B,Read,homeless,yes,yes,860
B,Read,camera,yes,yes,850
B,Read,malicious,yes,yes,740
B,Read,touristic,no,yes,0
B,Read,fabulous,yes,yes,1790
B,Read,protestant,no,yes,0
B,Read,displeasure,no,yes,0
B,Read,equation,no,yes,0
B,Read,famously,no,yes,0
B,Read,overflow,yes,yes,780
B,Read,chemical,yes,yes,1300
B,Read,optimal,yes,yes,750
B,Read,salary,no,yes,0
B,Read,disagree,no,no,0
B,Read,orchestra,no,yes,0
B,Read,instructive,no,yes,0
B,Read,invention,yes,yes,1010
B,Read,pollution,yes,yes,790
B,Read,humanist,no,yes,0
Total,,,,95,985
B,Audio,instructive,no,yes,0
B,Audio,salary,no,yes,0
B,Audio,optimal,yes,yes,1110
B,Audio,fabulous,yes,yes,1120
B,Audio,malicious,yes,yes,1040
B,Audio,camera,yes,yes,990
B,Audio,orchestra,no,yes,0
B,Audio,pollution,yes,yes,1020
B,Audio,displeasure,no,yes,0
B,Audio,overflow,yes,yes,1110
B,Audio,equation,no,yes,0
B,Audio,famously,no,yes,0
B,Audio,chemical,yes,yes,1450
B,Audio,disagree,no,no,0
B,Audio,touristic,no,yes,0
B,Audio,cosmetic,no,yes,0
B,Audio,humanist,no,yes,0
B,Audio,homeless,yes,yes,1050
B,Audio,protestant,no,yes,0
B,Audio,invention,yes,yes,1540
Total,,,,95,1158
