Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,optimal,yes,yes,980
A,Read,fabulous,yes,yes,810
A,Read,overflow,yes,yes,750
A,Read,displeasure,no,yes,0
A,Read,cosmetic,no,yes,0
A,Read,famously,no,yes,0
A,Read,disagree,yes,yes,1280
A,Read,touristic,no,yes,0
A,Read,instructive,no,yes,0
A,Read,pollution,yes,yes,1480
A,Read,camera,yes,yes,660
A,Read,protestant,no,yes,0
A,Read,equation,no,yes,0
A,Read,homeless,yes,yes,800
A,Read,malicious,yes,yes,1080
A,Read,orchestra,no,yes,0
A,Read,invention,yes,yes,830
A,Read,salary,no,yes,0
A,Read,humanist,no,yes,0
A,Read,chemical,yes,yes,830
Total,,,,100,950
A,Audio,invention,yes,yes,1610
A,Audio,protestant,no,yes,0
A,Audio,famously,no,yes,0
A,Audio,homeless,yes,yes,2340
A,Audio,displeasure,no,yes,0
A,Audio,equation,no,yes,0
A,Audio,instructive,no,yes,0
A,Audio,salary,no,yes,0
A,Audio,overflow,yes,yes,1160
A,Audio,malicious,yes,yes,2140
A,Audio,camera,yes,yes,1100
A,Audio,fabulous,yes,yes,1510
A,Audio,orchestra,no,yes,0
A,Audio,cosmetic,no,yes,0
A,Audio,pollution,yes,yes,2710
A,Audio,touristic,no,yes,0
A,Audio,humanist,no,yes,0
A,Audio,optimal,yes,yes,1440
A,Audio,disagree,yes,yes,1670
A,Audio,chemical,yes,yes,1330
Total,,,,100,1701
