Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,chemical,yes,yes,1090
A,Read,orchestra,no,yes,0
A,Read,malicious,yes,yes,710
A,Read,touristic,no,yes,0
A,Read,humanist,no,yes,0
A,Read,equation,no,yes,0
A,Read,displeasure,no,yes,0
A,Read,overflow,yes,yes,790
A,Read,pollution,no,no,0
A,Read,famously,no,yes,0
A,Read,fabulous,yes,yes,1600
A,Read,salary,no,yes,0
A,Read,invention,no,no,0
A,Read,optimal,yes,yes,900
A,Read,cosmetic,no,yes,0
A,Read,disagree,yes,yes,760
A,Read,protestant,no,yes,0
A,Read,camera,yes,yes,1320
A,Read,instructive,no,yes,0
A,Read,homeless,yes,yes,1390
Total,,,,90,1070
A,Audio,invention,no,no,0
A,Audio,disagree,yes,yes,1550
A,Audio,orchestra,yes,no,0
A,Audio,instructive,no,yes,0
A,Audio,humanist,no,yes,0
A,Audio,homeless,yes,yes,1110
A,Audio,pollution,yes,yes,1210
A,Audio,protestant,no,yes,0
A,Audio,optimal,yes,yes,1260
A,Audio,fabulous,yes,yes,1750
A,Audio,cosmetic,no,yes,0
A,Audio,touristic,no,yes,0
A,Audio,chemical,yes,yes,1460
A,Audio,famously,no,yes,0
A,Audio,equation,no,yes,0
A,Audio,camera,no,no,0
A,Audio,displeasure,no,yes,0
A,Audio,salary,no,yes,0
A,Audio,overflow,yes,yes,1680
A,Audio,malicious,yes,yes,1610
Total,,,,85,1453
