Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,protestant,no,yes,0
B,Read,homeless,yes,yes,650
B,Read,orchestra,no,yes,0
B,Read,cosmetic,no,yes,0
B,Read,humanist,no,yes,0
B,Read,optimal,no,no,0
B,Read,salary,no,yes,0
B,Read,disagree,yes,yes,620
B,Read,equation,no,yes,0
B,Read,touristic,no,yes,0
B,Read,chemical,yes,yes,620
B,Read,fabulous,yes,yes,630
B,Read,camera,yes,yes,680
B,Read,overflow,yes,yes,610
B,Read,pollution,yes,yes,620
B,Read,famously,no,yes,0
B,Read,malicious,no,no,0
B,Read,displeasure,no,yes,0
B,Read,invention,yes,yes,630
B,Read,instructive,no,yes,0
Total,,,,90,632
B,Audio,homeless,yes,yes,1150
B,Audio,touristic,no,yes,0
B,Audio,displeasure,no,yes,0
B,Audio,overflow,yes,yes,1080
B,Audio,protestant,no,yes,0
B,Audio,pollution,yes,yes,1060
B,Audio,instructive,no,yes,0
B,Audio,humanist,no,yes,0
B,Audio,disagree,yes,yes,1180
B,Audio,fabulous,yes,yes,1240
B,Audio,invention,yes,yes,1290
B,Audio,optimal,no,no,0
B,Audio,chemical,yes,yes,1200
B,Audio,famously,no,yes,0
B,Audio,salary,no,yes,0
B,Audio,equation,no,yes,0
B,Audio,malicious,no,no,0
B,Audio,cosmetic,no,yes,0
B,Audio,camera,yes,yes,1100
B,Audio,orchestra,no,yes,0
Total,,,,90,1162
