Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,cosmetic,no,yes,0
A,Read,displeasure,no,yes,0
A,Read,overflow,yes,yes,1160
A,Read,salary,no,yes,0
A,Read,chemical,yes,yes,1020
A,Read,optimal,yes,yes,1180
A,Read,fabulous,yes,yes,1160
A,Read,orchestra,no,yes,0
A,Read,malicious,yes,yes,1090
A,Read,homeless,yes,yes,1020
A,Read,humanist,no,yes,0
A,Read,instructive,no,yes,0
A,Read,pollution,yes,yes,1030
A,Read,famously,no,yes,0
A,Read,touristic,no,yes,0
A,Read,invention,yes,yes,1590
A,Read,disagree,yes,yes,930
A,Read,protestant,no,yes,0
A,Read,equation,no,yes,0
A,Read,camera,yes,yes,1130
Total,,,,100,1131
A,Audio,displeasure,no,yes,0
A,Audio,chemical,yes,yes,1550
A,Audio,malicious,yes,yes,1860
A,Audio,optimal,yes,yes,1450
A,Audio,salary,no,yes,0
A,Audio,camera,yes,yes,1570
A,Audio,invention,yes,yes,1470
A,Audio,instructive,no,yes,0
A,Audio,cosmetic,no,yes,0
A,Audio,overflow,yes,yes,1270
A,Audio,protestant,no,yes,0
A,Audio,disagree,yes,yes,1390
A,Audio,fabulous,yes,yes,1870
A,Audio,orchestra,no,yes,0
A,Audio,touristic,no,yes,0
A,Audio,humanist,no,yes,0
A,Audio,famously,no,yes,0
A,Audio,homeless,yes,yes,1020
A,Audio,equation,no,yes,0
A,Audio,pollution,yes,yes,1320
Total,,,,100,1477
