Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,optimal,yes,yes,1250
A,Read,protestant,no,yes,0
A,Read,homeless,yes,yes,920
A,Read,cosmetic,no,yes,0
A,Read,salary,no,yes,0
A,Read,humanist,no,yes,0
A,Read,camera,yes,yes,640
A,Read,overflow,yes,yes,750
A,Read,famously,no,yes,0
A,Read,touristic,no,yes,0
A,Read,disagree,yes,yes,900
A,Read,fabulous,yes,yes,750
A,Read,chemical,yes,yes,680
A,Read,orchestra,no,yes,0
A,Read,invention,yes,yes,1310
A,Read,pollution,yes,yes,740
A,Read,malicious,yes,yes,980
A,Read,equation,no,yes,0
A,Read,instructive,no,yes,0
A,Read,displeasure,no,yes,0
Total,,,,100,892
A,Audio,pollution,no,no,0
A,Audio,touristic,yes,no,0
A,Audio,malicious,yes,yes,990
A,Audio,protestant,no,yes,0
A,Audio,famously,no,yes,0
A,Audio,disagree,yes,yes,1950
A,Audio,optimal,no,no,0
A,Audio,displeasure,no,yes,0
A,Audio,humanist,yes,no,0
A,Audio,salary,no,yes,0
A,Audio,camera,yes,yes,1050
A,Audio,orchestra,no,yes,0
A,Audio,cosmetic,yes,no,0
A,Audio,instructive,no,yes,0
A,Audio,equation,no,yes,0
A,Audio,fabulous,yes,yes,1260
A,Audio,invention,yes,yes,1590
A,Audio,homeless,yes,yes,1400
A,Audio,chemical,yes,yes,1260
A,Audio,overflow,no,no,0
Total,,,,70,1357
