Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,optimal,no,no,0
B,Read,fabulous,yes,yes,900
B,Read,invention,no,no,0
B,Read,cosmetic,no,yes,0
B,Read,touristic,no,yes,0
B,Read,humanist,no,yes,0
B,Read,protestant,no,yes,0
B,Read,equation,no,yes,0
B,Read,instructive,no,yes,0
B,Read,homeless,yes,yes,580
B,Read,camera,no,no,0
B,Read,displeasure,no,yes,0
B,Read,orchestra,no,yes,0
B,Read,chemical,no,no,0
B,Read,disagree,no,no,0
B,Read,pollution,yes,yes,650
B,Read,salary,no,yes,0
B,Read,overflow,no,no,0
B,Read,famously,no,yes,0
B,Read,malicious,no,no,0
Total,,,,65,710
B,Audio,overflow,no,no,0
B,Audio,instructive,no,yes,0
B,Audio,humanist,yes,no,0
B,Audio,pollution,yes,yes,1120
B,Audio,displeasure,no,yes,0
B,Audio,equation,no,yes,0
B,Audio,invention,yes,yes,1590
B,Audio,malicious,yes,yes,1260
B,Audio,cosmetic,no,yes,0
B,Audio,protestant,no,yes,0
B,Audio,salary,no,yes,0
B,Audio,orchestra,no,yes,0
B,Audio,optimal,yes,yes,2330
B,Audio,famously,no,yes,0
B,Audio,camera,no,no,0
B,Audio,fabulous,yes,yes,1100
B,Audio,disagree,no,no,0
B,Audio,touristic,no,yes,0
B,Audio,chemical,yes,yes,1340
B,Audio,homeless,yes,yes,1180
Total,,,,80,1417
