Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,orchestra,no,yes,0
B,Read,chemical,no,no,0
B,Read,cosmetic,no,yes,0
B,Read,equation,no,yes,0
B,Read,protestant,no,yes,0
B,Read,displeasure,yes,no,0
B,Read,malicious,no,no,0
B,Read,touristic,no,yes,0
B,Read,camera,yes,yes,910
B,Read,instructive,no,yes,0
B,Read,fabulous,yes,yes,770
B,Read,homeless,yes,yes,830
B,Read,pollution,yes,yes,850
B,Read,optimal,yes,yes,870
B,Read,overflow,no,no,0
B,Read,disagree,no,no,0
B,Read,famously,no,yes,0
B,Read,humanist,no,yes,0
B,Read,salary,no,yes,0
B,Read,invention,no,no,0
Total,,,,70,846
B,Audio,optimal,yes,yes,1380
B,Audio,cosmetic,no,yes,0
B,Audio,fabulous,yes,yes,1130
B,Audio,camera,yes,yes,1190
B,Audio,malicious,no,no,0
B,Audio,disagree,no,no,0
B,Audio,humanist,no,yes,0
B,Audio,homeless,yes,yes,1230
B,Audio,pollution,yes,yes,1660
B,Audio,salary,no,yes,0
B,Audio,famously,no,yes,0
B,Audio,displeasure,no,yes,0
B,Audio,equation,no,yes,0
B,Audio,instructive,no,yes,0
B,Audio,orchestra,no,yes,0
B,Audio,protestant,no,yes,0
B,Audio,touristic,no,yes,0
B,Audio,chemical,no,no,0
B,Audio,overflow,no,no,0
B,Audio,invention,yes,yes,1970
Total,,,,80,1426
