Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,protestant,no,yes,0
A,Read,touristic,no,yes,0
A,Read,homeless,yes,yes,750
A,Read,famously,no,yes,0
A,Read,chemical,yes,yes,630
A,Read,fabulous,no,no,0
A,Read,optimal,no,no,0
A,Read,displeasure,no,yes,0
A,Read,instructive,no,yes,0
A,Read,pollution,yes,yes,790
A,Read,humanist,no,yes,0
A,Read,malicious,yes,yes,700
A,Read,overflow,no,no,0
A,Read,equation,no,yes,0
A,Read,invention,no,no,0
A,Read,salary,no,yes,0
A,Read,disagree,no,no,0
A,Read,orchestra,no,yes,0
A,Read,camera,no,no,0
A,Read,cosmetic,no,yes,0
Total,,,,70,717
A,Audio,optimal,no,no,0
A,Audio,protestant,no,yes,0
A,Audio,overflow,no,no,0
A,Audio,homeless,yes,yes,1340
A,Audio,salary,no,yes,0
A,Audio,instructive,no,yes,0
A,Audio,camera,yes,yes,950
A,Audio,invention,no,no,0
A,Audio,fabulous,no,no,0
A,Audio,touristic,yes,no,0
A,Audio,malicious,yes,yes,1200
A,Audio,humanist,no,yes,0
A,Audio,orchestra,no,yes,0
A,Audio,chemical,yes,yes,1180
A,Audio,equation,no,yes,0
A,Audio,famously,no,yes,0
A,Audio,pollution,yes,yes,890
A,Audio,cosmetic,yes,no,0
A,Audio,displeasure,yes,no,0
A,Audio,disagree,no,no,0
Total,,,,60,1112


