Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,famously,no,yes,0
B,Read,protestant,no,yes,0
B,Read,malicious,yes,yes,620
B,Read,overflow,yes,yes,680
B,Read,camera,no,no,0
B,Read,optimal,yes,yes,1010
B,Read,chemical,yes,yes,660
B,Read,salary,no,yes,0
B,Read,instructive,no,yes,0
B,Read,pollution,yes,yes,590
B,Read,homeless,yes,yes,640
B,Read,orchestra,no,yes,0
B,Read,disagree,no,no,0
B,Read,cosmetic,no,yes,0
B,Read,displeasure,yes,no,0
B,Read,invention,yes,yes,910
B,Read,touristic,no,yes,0
B,Read,humanist,no,yes,0
B,Read,equation,no,yes,0
B,Read,fabulous,no,no,0
Total,,,,80,730
B,Audio,salary,no,yes,0
B,Audio,pollution,yes,yes,2070
B,Audio,disagree,no,no,0
B,Audio,optimal,yes,yes,1410
B,Audio,displeasure,no,yes,0
B,Audio,cosmetic,no,yes,0
B,Audio,humanist,no,yes,0
B,Audio,fabulous,yes,yes,1350
B,Audio,touristic,no,yes,0
B,Audio,orchestra,no,yes,0
B,Audio,overflow,yes,yes,1210
B,Audio,camera,no,no,0
B,Audio,instructive,yes,no,0
B,Audio,protestant,no,yes,0
B,Audio,homeless,yes,yes,1110
B,Audio,invention,yes,yes,1100
B,Audio,malicious,yes,yes,1260
B,Audio,chemical,yes,yes,1230
B,Audio,famously,no,yes,0
B,Audio,equation,no,yes,0
Total,,,,85,1342
