Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,disagree,yes,yes,2340
A,Read,pollution,yes,yes,650
A,Read,overflow,yes,yes,1150
A,Read,chemical,yes,yes,1170
A,Read,instructive,no,yes,0
A,Read,homeless,yes,yes,890
A,Read,touristic,no,yes,0
A,Read,salary,no,yes,0
A,Read,invention,yes,yes,1330
A,Read,cosmetic,no,yes,0
A,Read,optimal,yes,yes,800
A,Read,orchestra,no,yes,0
A,Read,famously,no,yes,0
A,Read,fabulous,yes,yes,1040
A,Read,humanist,no,yes,0
A,Read,camera,yes,yes,900
A,Read,protestant,no,yes,0
A,Read,displeasure,no,yes,0
A,Read,equation,no,yes,0
A,Read,malicious,no,no,0
Total,,,,95,1141
A,Audio,chemical,no,no,0
A,Audio,touristic,no,yes,0
A,Audio,orchestra,no,yes,0
A,Audio,instructive,yes,no,0
A,Audio,camera,yes,yes,1160
A,Audio,humanist,no,yes,0
A,Audio,homeless,yes,yes,1200
A,Audio,cosmetic,yes,no,0
A,Audio,disagree,yes,yes,1370
A,Audio,invention,yes,yes,2180
A,Audio,protestant,no,yes,0
A,Audio,optimal,no,no,0
A,Audio,overflow,yes,yes,1740
A,Audio,salary,no,yes,0
A,Audio,pollution,yes,yes,1610
A,Audio,displeasure,no,yes,0
A,Audio,equation,no,yes,0
A,Audio,fabulous,yes,yes,2670
A,Audio,famously,no,yes,0
A,Audio,malicious,yes,yes,2270
Total,,,,80,1775
