Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,fabulous,yes,yes,1330
B,Read,touristic,no,yes,0
B,Read,equation,yes,no,0
B,Read,invention,no,no,0
B,Read,optimal,yes,yes,760
B,Read,chemical,yes,yes,1050
B,Read,famously,no,yes,0
B,Read,camera,no,no,0
B,Read,displeasure,yes,no,0
B,Read,salary,no,yes,0
B,Read,overflow,yes,yes,760
B,Read,instructive,no,yes,0
B,Read,humanist,no,yes,0
B,Read,orchestra,yes,no,0
B,Read,pollution,yes,yes,740
B,Read,cosmetic,no,yes,0
B,Read,homeless,yes,yes,1080
B,Read,protestant,no,yes,0
B,Read,disagree,yes,yes,770
B,Read,malicious,yes,yes,2440
Total,,,,75,1116
B,Audio,equation,yes,no,0
B,Audio,salary,no,yes,0
B,Audio,displeasure,yes,no,0
B,Audio,camera,no,no,0
B,Audio,instructive,yes,no,0
B,Audio,optimal,yes,yes,1000
B,Audio,pollution,yes,yes,1040
B,Audio,disagree,yes,yes,1560
B,Audio,malicious,yes,yes,1670
B,Audio,fabulous,yes,yes,1250
B,Audio,invention,no,no,0
B,Audio,famously,no,yes,0
B,Audio,protestant,no,yes,0
B,Audio,homeless,no,no,0
B,Audio,cosmetic,no,yes,0
B,Audio,overflow,yes,yes,930
B,Audio,touristic,yes,no,0
B,Audio,humanist,no,yes,0
B,Audio,chemical,yes,yes,1010
B,Audio,orchestra,yes,no,0
Total,,,,60,1208
