Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,touristic,no,yes,0
A,Read,humanist,no,yes,0
A,Read,optimal,yes,yes,590
A,Read,pollution,yes,yes,620
A,Read,salary,no,yes,0
A,Read,protestant,no,yes,0
A,Read,equation,no,yes,0
A,Read,fabulous,yes,yes,670
A,Read,overflow,yes,yes,650
A,Read,cosmetic,no,yes,0
A,Read,invention,no,no,0
A,Read,displeasure,no,yes,0
A,Read,malicious,yes,yes,600
A,Read,orchestra,no,yes,0
A,Read,camera,yes,yes,680
A,Read,chemical,yes,yes,680
A,Read,famously,no,yes,0
A,Read,homeless,yes,yes,620
A,Read,disagree,no,no,0
A,Read,instructive,no,yes,0
Total,,,,90,638
A,Audio,salary,no,yes,0
A,Audio,famously,no,yes,0
A,Audio,optimal,yes,yes,1190
A,Audio,instructive,no,yes,0
A,Audio,protestant,no,yes,0
A,Audio,camera,yes,yes,730
A,Audio,equation,no,yes,0
A,Audio,displeasure,no,yes,0
A,Audio,cosmetic,yes,no,0
A,Audio,overflow,yes,yes,1240
A,Audio,disagree,no,no,0
A,Audio,humanist,no,yes,0
A,Audio,invention,no,no,0
A,Audio,fabulous,yes,yes,980
A,Audio,malicious,no,no,0
A,Audio,homeless,yes,yes,900
A,Audio,touristic,no,yes,0
A,Audio,pollution,yes,yes,1000
A,Audio,chemical,yes,yes,1600
A,Audio,orchestra,no,yes,0
Total,,,,80,1091

