Group,"Test Type",Word,Pressed,Accurate,Time
B,Read,humanist,no,yes,0
B,Read,cosmetic,no,yes,0
B,Read,touristic,no,yes,0
B,Read,protestant,no,yes,0
B,Read,homeless,yes,yes,850
B,Read,invention,no,no,0
B,Read,chemical,no,no,0
B,Read,orchestra,yes,no,0
B,Read,displeasure,no,yes,0
B,Read,equation,no,yes,0
B,Read,malicious,yes,yes,1200
B,Read,disagree,no,no,0
B,Read,optimal,yes,yes,1100
B,Read,salary,no,yes,0
B,Read,famously,no,yes,0
B,Read,fabulous,yes,yes,980
B,Read,overflow,no,no,0
B,Read,instructive,no,yes,0
B,Read,camera,no,no,0
B,Read,pollution,yes,yes,870
Total,,,,70,1000
B,Audio,displeasure,no,yes,0
B,Audio,touristic,no,yes,0
B,Audio,equation,no,yes,0
B,Audio,chemical,no,no,0
B,Audio,fabulous,yes,yes,1490
B,Audio,orchestra,no,yes,0
B,Audio,camera,no,no,0
B,Audio,homeless,yes,yes,1100
B,Audio,salary,no,yes,0
B,Audio,optimal,yes,yes,1760
B,Audio,malicious,yes,yes,1160
B,Audio,protestant,no,yes,0
B,Audio,overflow,no,no,0
B,Audio,invention,no,no,0
B,Audio,disagree,no,no,0
B,Audio,cosmetic,no,yes,0
B,Audio,famously,no,yes,0
B,Audio,instructive,no,yes,0
B,Audio,pollution,no,no,0
B,Audio,humanist,no,yes,0
Total,,,,70,1377
