Group,"Test Type",Word,Pressed,Accurate,Time
A,Read,chemical,yes,yes,1170
A,Read,camera,yes,yes,620
A,Read,optimal,yes,yes,600
A,Read,pollution,yes,yes,740
A,Read,overflow,yes,yes,660
A,Read,touristic,no,yes,0
A,Read,orchestra,no,yes,0
A,Read,humanist,no,yes,0
A,Read,protestant,no,yes,0
A,Read,cosmetic,no,yes,0
A,Read,famously,no,yes,0
A,Read,fabulous,yes,yes,730
A,Read,invention,yes,yes,740
A,Read,equation,no,yes,0
A,Read,instructive,no,yes,0
A,Read,malicious,yes,yes,660
A,Read,displeasure,no,yes,0
A,Read,homeless,yes,yes,630
A,Read,salary,no,yes,0
A,Read,disagree,yes,yes,740
Total,,,,100,729
A,Audio,invention,yes,yes,1330
A,Audio,humanist,no,yes,0
A,Audio,fabulous,yes,yes,1070
A,Audio,cosmetic,no,yes,0
A,Audio,displeasure,no,yes,0
A,Audio,famously,no,yes,0
A,Audio,pollution,yes,yes,1100
A,Audio,protestant,no,yes,0
A,Audio,overflow,yes,yes,1020
A,Audio,camera,yes,yes,1010
A,Audio,disagree,yes,yes,960
A,Audio,optimal,yes,yes,1120
A,Audio,equation,no,yes,0
A,Audio,salary,no,yes,0
A,Audio,homeless,yes,yes,700
A,Audio,instructive,no,yes,0
A,Audio,touristic,no,yes,0
A,Audio,malicious,no,no,0
A,Audio,chemical,yes,yes,1050
A,Audio,orchestra,no,yes,0
Total,,,,95,1040
